"ID";"ARTICLE";"SECTION_NAME";"NAME";"DESCRIPTION";"PRICE";"URL";"SALES";"PREORDER"
"57876";"56e9454b-8184-11eb-8153-005056010333";"Наушники";"Наушники Celebrat G6 (черный)";"";"13.00 BYN";"/catalog/audiotekhnika/naushniki/naushniki-celebrat-g6-chernyj/";"N";"N"
"57877";"5d4cd5f4-8184-11eb-8153-005056010333";"Наушники";"Наушники Celebrat G6 (белый)";"";"13.00 BYN";"/catalog/audiotekhnika/naushniki/naushniki-celebrat-g6-belyj/";"N";"N"
"57890";"nsv0041454";"Радиотелефоны";"Радиотелефон Panasonic KX-TGF320RU";"база + трубка, АОН, CallerID, автоответчик, экран монохромный, клавиатура c подсветкой";"465.00 BYN";"/catalog/telefonija-i-svjaz/radiotelefony/panasonic-kx-tgf320ru/";"N";"N"
"57894";"nsv0041450";"Радиотелефоны";"Радиотелефон Panasonic KX-TGJ320RU Black";"база + трубка, АОН, CallerID, автоответчик, экран TFT, клавиатура c подсветкой";"375.00 BYN";"/catalog/telefonija-i-svjaz/radiotelefony/panasonic-kx-tgj320rub/";"N";"N"
"57895";"nsv0041436";"Радиотелефоны";"Радиотелефон Panasonic KX-TGJ322RU Black";"база + 2 трубки, АОН, CallerID, автоответчик, экран TFT, клавиатура c подсветкой";"577.50 BYN";"/catalog/telefonija-i-svjaz/radiotelefony/panasonic-kx-tgj322rub/";"N";"N"
"57964";"nsv0041557";"Кухонные комбайны, машины и планетарные миксеры";"Кухонный комбайн Moulinex FP827E10";"1000 Вт, объем чаши: 3 л, терки, измельчитель, соковыжималка, блендер";"759.40 BYN";"/catalog/tekhnika-dlja-podgotovki-i-obrabotki-produktov/kukhonnye-kombajny-mashiny-i-planetarnye-miksery/moulinex-fp827e10/";"Y";"N"
"57999";"nsv0041489";"Телевизоры";"ЖК телевизор Harper 32R720TS";"32&quot; 1366x768 (HD), матрица VA, частота матрицы 60 Гц, Smart TV (Android), Wi-Fi";"641.73 BYN";"/catalog/televizory-i-videotekhnika/televizory/harper-32r720ts/";"N";"N"
"58014";"nsv0041548";"Микроволновые печи";"Микроволновая печь LG MS2042DB";"микроволны (соло), объем 20 л, мощность 700 Вт, управление сенсорное, автоприготовление, авторазмораживание, цвет черный";"435.00 BYN";"/catalog/tekhnika-dlja-prigotovlenija-pischi/mikrovolnovye-pechi/lg-ms2042db/";"N";"N"
"58015";"nsv0041549";"Микроволновые печи";"Микроволновая печь LG MW23W35GIB";"микроволны (соло), объем 23 л, мощность 1000 Вт, управление сенсорное, автоприготовление, авторазмораживание, цвет черный";"604.80 BYN";"/catalog/tekhnika-dlja-prigotovlenija-pischi/mikrovolnovye-pechi/lg-mw23w35gib/";"Y";"N"
"58019";"nsv0041560";"Хлебопечки";"Хлебопечка Moulinex OW210130";"720 Вт, вес выпечки: 1000 г, регулировка веса выпечки, 12 программ выпечки, выбор цвета корочки, замес теста, диспенсер";"616.10 BYN";"/catalog/tekhnika-dlja-prigotovlenija-pischi/khlebopechki/moulinex-ow210130/";"Y";"N"
"58031";"nsv0041609";"Пылесосы";"Пылесос Samsung VC18M31A0HP/EV";"с контейнером, пылесборник: контейнер, мощность всасывания: 380 Вт, потребление: 1800 Вт, труба: сталь, регулировка мощности на ручке, шум 87 дБ";"409.00 BYN";"/catalog/tekhnika-dlja-uborki/pylesosy/samsung-vc18m31a0hp-ev/";"N";"N"
"58064";"nsv0041507";"Пылесосы";"Пылесос Thomas Allergy &amp; Family [788585]";"моющий, пылесборник: мешок+аквафильтр, мощность всасывания: 325 Вт, потребление: 1700 Вт, труба: сталь, регулировка мощности на корпусе, шум 81 дБ, турбощетка";"1499.00 BYN";"/catalog/tekhnika-dlja-uborki/pylesosy/thomas-allergy-family-788585/";"N";"N"
"58065";"nsv0041508";"Пылесосы";"Пылесос Thomas Aqua-Box Compact [786533] (черный, оранжевый)";"с аквафильтром, пылесборник: аквафильтр, мощность всасывания: 320 Вт, потребление: 1600 Вт, труба: сталь, регулировка мощности на корпусе, шум 81 дБ";"1099.00 BYN";"/catalog/tekhnika-dlja-uborki/pylesosy/thomas-aqua-box-compact-786533/";"N";"N"
